Difference,Pipeline,Evaluation_measure,predictive_model,dataset
-14.715,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-8.42,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
46.595,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
23.46,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-38.435,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-46.5,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-50.335,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-27.47,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
44.375,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
1.67,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
9.565,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
4.59,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-49.925,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-9.34,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
44.145,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
12.71,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
16.335,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
37.62,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-19.055,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
12.51,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
23.945,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
44.6,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-6.805,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
23.59,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-49.555,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-24.46,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
4.225,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-8.34,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
49.665,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
1.67,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
45.735,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
11.52,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
21.695,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
2.12,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
26.055,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
35.6,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-38.905,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-16.9,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-16.105,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
5.76,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-32.945,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
7.96,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
48.855,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
15.07,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-50.335,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-5.58,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
39.905,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
8.38,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-14.975,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-20.41,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-16.395,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
3.87,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
24.135,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-20.07,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-0.195,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
14.57,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-49.145,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-48.47,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-30.775,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-59.04,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-49.805,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-25.86,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
49.145,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
11.29,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
19.455,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-14.16,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
23.985,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-14.4,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-46.245,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-4.26,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
16.715,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-12.43,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
14.045,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
42.43,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-32.055,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
4.09,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
22.575,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
18.43,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-27.125,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
11.44,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-29.775,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
1.66,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
9.125,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-10.24,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
34.335,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
4.52,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
20.135,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
23.94,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-47.435,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-4.51,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-26.035,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-19.8,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
42.165,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
31.73,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
24.275,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
3.83,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-35.645,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-15.12,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-27.005,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
10.36,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-24.495,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-3.18,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-25.785,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
8.85,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-36.315,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-4.72,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
42.405,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
53.49,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
15.095,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-6.54,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
45.355,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
12.43,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
33.775,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
31.57,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-35.805,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-12.46,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
4.685,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
45.41,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
14.915,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
39.7,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
45.345,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
18.18,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-38.435,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-26.66,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-12.775,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-24.07,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
0.285,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
22.86,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-30.525,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
5.57,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-12.645,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-13.16,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
6.215,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
17.32,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
34.175,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
59.8,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
3.055,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
21.36,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
44.625,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
11.89,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-49.605,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-4.63,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-18.665,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-21.11,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
5.595,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
23.07,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
47.765,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
1.56,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-32.625,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-2.98,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
33.115,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
10.48,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-36.975,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-9.28,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-41.635,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-40.67,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
48.775,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
9.58,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-40.165,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-12.04,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
3.495,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
28.83,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
1.295,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-28.48,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-48.855,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-20.88,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-23.355,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
15.24,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
34.945,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
27.61,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-22.215,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
5.51,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
47.835,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
0.82,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
20.815,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
26.41,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-48.095,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-8.5,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
21.425,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
18.74,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-49.685,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-4.04,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-3.975,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-2.5,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
44.745,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
0.15,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-45.255,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-28.99,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-2.285,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-24.23,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-43.905,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-57.09,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
9.595,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
23.29,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-50.015,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-53.71,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-0.225,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
15.34,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-27.285,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-46.43,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-49.405,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-34.14,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
14.695,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
41.27,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
43.265,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
57.92,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-44.945,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-1,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
49.665,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
2.32,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
45.765,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
29.59,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-16.055,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
11.07,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
23.515,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
10.73,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
6.245,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-20.94,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-48.235,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-6.34,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
7.165,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
48.79,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
39.475,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-7.69,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
37.325,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
12.21,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-43.435,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-4.64,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
45.615,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
2.36,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
4.005,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-3.25,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-47.265,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-13.76,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-5.685,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-12.03,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
39.245,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
18.52,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-1.935,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-17.9,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-49.975,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-38.3,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
27.635,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-5.53,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
26.415,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
28.27,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
41.575,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
64.89,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
20.675,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
23.32,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-36.875,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-20.57,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-50.335,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-5.94,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
40.915,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
7.15,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
48.485,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
3.42,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-12.835,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
3.42,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
45.835,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
40.23,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-24.785,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
16.38,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
14.805,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
1.31,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
27.395,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-4.15,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
22.875,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
54.74,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
3.855,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
13.44,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-17.115,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-8.72,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-46.765,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-6.34,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-20.885,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-42.81,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
46.755,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
16.03,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-29.705,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-59.3,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-49.875,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-14.89,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
48.945,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
12.21,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
49.005,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
0.92,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-48.945,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-15.18,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
19.105,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
9.75,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-48.975,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-53.28,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-45.575,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-46.01,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
44.985,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
79.7,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-50.335,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-13.95,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
21.335,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
9.25,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-34.715,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-30.99,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
31.305,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
5.36,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-32.795,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-60.06,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-47.655,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-27.56,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
48.765,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
6.86,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-43.075,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-23.57,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-33.205,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
7.02,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-49.455,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-67.05,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-32.275,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-35.63,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
48.205,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-0.1,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
24.295,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
4.26,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-1.255,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-32.34,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
2.075,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
24.96,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-47.525,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-5.18,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-47.955,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-5.04,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
27.185,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
11.77,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
18.015,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
15.83,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
2.365,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
0.22,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
21.585,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
12.37,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
24.075,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-11.78,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-1.175,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-9.7,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-31.375,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-48.8,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-50.335,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-11.1,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
0.345,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
26.65,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-16.515,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-37.88,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
20.805,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
14.49,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
36.295,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
26.03,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
33.725,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
7.24,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
47.855,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
4.32,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-40.485,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-11.32,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-23.735,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
-7.28,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
-38.705,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
6.33,ARP/wARP→Buccaneer,Completeness,JCSG,JCSG data sets
9.255,ARP/wARP→Buccaneer,Completeness,JCSG median,JCSG data sets
